fish_id,Genotype,Position,Tray,Trial,Time,Bin,Distance_travelled,Velocity_mean,Velocity_var,Time_moving,Freq_moving,Acceleration_max,Acceleration_min,Freq_in_middle,Time_in_middle,Dist_to_middle_mean,Dist_to_middle_var,Mobility_var,Mobility_mean
2.2-6.10,het,A2,5,7,1899-12-31T09:03:00Z,6,84.8754,1.41459,21.3744,15.92,30,888.11,-781.964,8,24.04,0.694485,0.790219,202.705,4.35323
2.2-6.10,het,A2,5,7,1899-12-31T09:03:00Z,7,213.208,3.55346,54.2694,32.48,27,1238.75,-818.102,6,15.84,1.71548,1.89153,406.671,9.91575
2.2-6.10,het,A2,5,7,1899-12-31T09:03:00Z,8,215.045,3.58888,55.272,30.28,16,2347.16,-2012.05,8,3.6,2.36751,1.02052,349.664,9.97757
2.2-6.10,het,A2,5,7,1899-12-31T09:03:00Z,9,277.681,4.62802,66.1529,40.96,12,1697.68,-1060.25,4,11.36,2.35537,2.06138,381.654,11.9798
2.2-6.10,het,A2,5,7,1899-12-31T09:03:00Z,10,33.6046,0.560077,6.81642,4.24,1,427.681,-497.104,0,0,3.0619,0.0585383,48.9867,1.47185
2.2-6.10,het,A2,5,7,1899-12-31T09:03:00Z,11,0.468685,0.00782184,0.0459006,0,0,153.524,-153.524,0,0,2.94565,5.82458e-4,0.270802,0.0175135
2.2-6.10,het,A2,5,7,1899-12-31T09:03:00Z,12,4.24243,0.0708015,0.458805,0,0,247.689,-247.689,0,0,2.84167,0.0149865,2.64249,0.153202
2.2-6.10,het,A2,5,7,1899-12-31T09:03:00Z,13,1.98496,0.0330826,0.18239,0,0,162.02,-162.02,0,0,2.87915,0.00696346,0.297941,0.0392632
2.2-6.10,het,A2,5,7,1899-12-31T09:03:00Z,14,0.619368,0.0103228,0.0532435,0,0,133.53,-133.53,0,0,2.87408,0.00540945,0.107653,0.0144798
2.2-6.10,het,A2,5,10,1899-12-31T10:41:00Z,0,0,0,0,0,0,0,0,0,0,3.97946,0,0,0
2.2-6.10,het,A2,5,10,1899-12-31T10:41:00Z,3,0,0,0,0,0,0,0,0,0,3.97946,0,0,0
2.2-6.10,het,A2,5,10,1899-12-31T10:41:00Z,6,125.613,2.09634,37.0297,18.68,18,1304.87,-958.876,5,6.32,1.82751,1.24327,266.884,6.04341
2.2-6.10,het,A2,5,10,1899-12-31T10:41:00Z,7,191.67,3.19451,46.5814,32.12,21,1429.13,-651.511,3,8.4,1.93174,1.37157,344.823,9.00443
2.2-6.10,het,A2,5,10,1899-12-31T10:41:00Z,8,180.224,3.00373,33.7844,34.6,21,1029.09,-582.031,4,2.68,2.81299,0.736601,307.667,8.95317
2.2-6.10,het,A2,5,10,1899-12-31T10:41:00Z,9,141.161,2.35583,27.813,28.92,26,925.358,-769.06,4,16.16,2.03052,2.05817,236.586,6.84701
